as_of,skladowa,faza,symbol,kierunek,data_wejscia,cena_wejscia,cena_biezaca,planowane_wyjscie,dzwignia,waga,k,wielkosc_proc_kapitalu,depozyt_proc_kapitalu,zwrot_biezacy_proc,przed_startem
2026-09-25,trend,0,BNBUSDT,long,2026-09-21,799.78,777.53,2026-09-28,2.0,0.006957438501210036,0.5699873952881126,0.3965652249181938,0.1982826124590969,-2.782015054139886,True
2026-09-25,trend,0,BTCUSDT,long,2026-09-21,86578.7,84056.0,2026-09-28,2.0,0.006532574650673029,0.5699873952881126,0.37234852096622717,0.18617426048311358,-2.9137651639491002,True
2026-09-25,trend,0,BTWUSDT,long,2026-09-21,0.8003,1.3154,2026-09-28,2.0,0.0009827020280730907,0.5699873952881126,0.05601277693257267,0.028006388466286336,64.36336373859801,True
2026-09-25,trend,0,CYSUSDT,short,2026-09-21,0.155,0.1854,2026-09-28,2.0,-0.0009172415840753924,0.5699873952881126,0.05228161413570753,0.026140807067853766,-19.612903225806466,True
2026-09-25,trend,0,DOGEUSDT,long,2026-09-21,0.09986,0.09893,2026-09-28,2.0,0.0040919974308684754,0.5699873952881126,0.2332386957146371,0.11661934785731855,-0.9313038253555006,True
2026-09-25,trend,0,ENAUSDT,long,2026-09-21,0.21267,0.26801,2026-09-28,2.0,0.00220911836622968,0.5699873952881126,0.12591696234503863,0.06295848117251931,26.021535712606394,True
2026-09-25,trend,0,ETHUSDT,long,2026-09-21,2774.5,2690.56,2026-09-28,2.0,0.004813929066835339,0.5699873952881126,0.274387888990721,0.1371939444953605,-3.025409983780858,True
2026-09-25,trend,0,HYPEUSDT,long,2026-09-21,94.044,92.368,2026-09-28,2.0,0.0033347832093603242,0.5699873952881126,0.1900784395353824,0.0950392197676912,-1.7821445280932324,True
2026-09-25,trend,0,LINKUSDT,long,2026-09-21,13.177,13.924,2026-09-28,2.0,0.00426155613077262,0.5699873952881126,0.2429033278853173,0.12145166394265865,5.668968657509299,True
2026-09-25,trend,0,PUMPUSDT,short,2026-09-21,0.004375,0.004194,2026-09-28,2.0,-0.002158486101667461,0.5699873952881126,0.12303098708550285,0.061515493542751425,4.137142857142873,True
2026-09-25,trend,0,SOLUSDT,long,2026-09-21,118.88,122.1,2026-09-28,2.0,0.004438960545201384,0.5699873952881126,0.2530151558946037,0.12650757794730186,2.7086137281292055,True
2026-09-25,trend,0,SUIUSDT,long,2026-09-21,1.0426,1.1943,2026-09-28,2.0,0.003356883656068527,0.5699873952881126,0.1913381371407736,0.0956690685703868,14.55016305390371,True
2026-09-25,trend,0,TRUMPUSDT,short,2026-09-21,2.185,2.122,2026-09-28,2.0,-0.0024822577818018957,0.5699873952881126,0.14148556474829105,0.07074278237414552,2.8832951945080176,True
2026-09-25,trend,0,TUTUSDT,short,2026-09-21,0.02274,0.026,2026-09-28,2.0,-0.0006729595687911947,0.5699873952881126,0.03835784717495045,0.019178923587475225,-14.335971855760764,True
2026-09-25,trend,0,XRPUSDT,long,2026-09-21,1.5362,1.5677,2026-09-28,2.0,0.003936629054986361,0.5699873952881126,0.224382894126718,0.112191447063359,2.0505142559562595,True
2026-09-25,trend,0,ZECUSDT,long,2026-09-21,1470.95,1555.2,2026-09-28,2.0,0.001993673458095699,0.5699873952881126,0.11363687414350115,0.05681843707175058,5.727591012610889,True
2026-09-25,trend,1,1000PEPEUSDT,long,2026-09-22,0.0049853,0.0044875,2026-09-29,2.0,0.002737807267831378,0.5699873952881126,0.1560515633392071,0.07802578166960356,-9.985356949431324,True
2026-09-25,trend,1,ACEUSDT,short,2026-09-22,0.17416,0.1944,2026-09-29,2.0,-0.000961383303710628,0.5699873952881126,0.054797636515550134,0.027398818257775067,-11.621497473587494,True
2026-09-25,trend,1,ADAUSDT,long,2026-09-22,0.2543,0.2586,2026-09-29,2.0,0.0036526911328742897,0.5699873952881126,0.20819879046190015,0.10409939523095008,1.6909162406606226,True
2026-09-25,trend,1,AKEUSDT,long,2026-09-22,0.050941,0.032779,2026-09-29,2.0,0.00046494604021710573,0.5699873952881126,0.02650133824128701,0.013250669120643505,-35.65301034530142,True
2026-09-25,trend,1,BNBUSDT,long,2026-09-22,788.87,777.53,2026-09-29,2.0,0.006991763530124156,0.5699873952881126,0.3985217083005887,0.19926085415029435,-1.4374992077275106,True
2026-09-25,trend,1,BTCUSDT,long,2026-09-22,86158.6,84056.0,2026-09-29,2.0,0.006584342715449326,0.5699873952881126,0.37529923540632193,0.18764961770316096,-2.4403832002841352,True
2026-09-25,trend,1,BTWUSDT,long,2026-09-22,0.8994,1.3154,2026-09-29,2.0,0.0009859675121142145,0.5699873952881126,0.056198905406868165,0.028099452703434082,46.25305759395151,True
2026-09-25,trend,1,CYSUSDT,short,2026-09-22,0.1768,0.1854,2026-09-29,2.0,-0.0009191892918627984,0.5699873952881126,0.05239263102456012,0.02619631551228006,-4.864253393665163,True
2026-09-25,trend,1,DOGEUSDT,long,2026-09-22,0.1004,0.09893,2026-09-29,2.0,0.004125216413227783,0.5699873952881126,0.2351321358375474,0.1175660679187737,-1.4641434262948172,True
