as_of,component,phase,formed,today,symbol,sign,weight,k,exposure,margin
2026-09-23,trend,1,2026-09-22,False,LINKUSDT,1,0.004293975369609908,0.5708527631823012,0.0024512277047785587,0.0012256138523892793
2026-09-23,trend,1,2026-09-22,False,PUMPUSDT,-1,-0.002174068846436701,0.5708527631823012,-0.0012410732083369487,0.0006205366041684743
2026-09-23,trend,1,2026-09-22,False,SOLUSDT,1,0.0044754590853984194,0.5708527631823012,0.002554828185409022,0.001277414092704511
2026-09-23,trend,1,2026-09-22,False,SUIUSDT,1,0.0033798912275863208,0.5708527631823012,0.001929420246523271,0.0009647101232616355
2026-09-23,trend,1,2026-09-22,False,TRUMPUSDT,1,0.002498397286378885,0.5708527631823012,0.0014262169944565493,0.0007131084972282747
2026-09-23,trend,1,2026-09-22,False,TUTUSDT,-1,-0.000675940349995293,0.5708527631823012,-0.0003858624165412248,0.0001929312082706124
2026-09-23,trend,1,2026-09-22,False,XRPUSDT,1,0.003956917087737815,0.5708527631823012,0.0022588170532183956,0.0011294085266091978
2026-09-23,trend,1,2026-09-22,False,ZECUSDT,1,0.001976308750582904,0.5708527631823012,0.001128181311171612,0.000564090655585806
2026-09-23,trend,2,2026-09-23,True,1000PEPEUSDT,1,0.0026368451634840996,0.5708527631823012,0.0015052503476587849,0.0007526251738293924
2026-09-23,trend,2,2026-09-23,True,ACEUSDT,-1,-0.0009684260165135029,0.5708527631823012,-0.000552828667464362,0.000276414333732181
2026-09-23,trend,2,2026-09-23,True,ADAUSDT,1,0.003611723314097633,0.5708527631823012,0.002061762233702572,0.001030881116851286
2026-09-23,trend,2,2026-09-23,True,AKEUSDT,1,0.0004679740391206574,0.5708527631823012,0.00026714427332960957,0.00013357213666480479
2026-09-23,trend,2,2026-09-23,True,BNBUSDT,1,0.006959584281258377,0.5708527631823012,0.003972897917556454,0.001986448958778227
