as_of,phase,formed,today,symbol,sign,weight
2026-09-25,1,2026-09-22,False,SUIUSDT,1,0.014285714285714287
2026-09-25,1,2026-09-22,False,ZECUSDT,1,0.014285714285714287
2026-09-25,1,2026-09-22,False,ACEUSDT,-1,-0.014285714285714287
2026-09-25,1,2026-09-22,False,CYSUSDT,-1,-0.014285714285714287
2026-09-25,1,2026-09-22,False,PUMPUSDT,-1,-0.014285714285714287
2026-09-25,1,2026-09-22,False,TRUMPUSDT,-1,-0.014285714285714287
2026-09-25,1,2026-09-22,False,TUTUSDT,-1,-0.014285714285714287
2026-09-25,2,2026-09-23,False,AKEUSDT,1,0.014285714285714287
2026-09-25,2,2026-09-23,False,BTWUSDT,1,0.014285714285714287
2026-09-25,2,2026-09-23,False,ENAUSDT,1,0.014285714285714287
2026-09-25,2,2026-09-23,False,SUIUSDT,1,0.014285714285714287
2026-09-25,2,2026-09-23,False,ZECUSDT,1,0.014285714285714287
2026-09-25,2,2026-09-23,False,ACEUSDT,-1,-0.014285714285714287
2026-09-25,2,2026-09-23,False,CYSUSDT,-1,-0.014285714285714287
2026-09-25,2,2026-09-23,False,PUMPUSDT,-1,-0.014285714285714287
2026-09-25,2,2026-09-23,False,TRUMPUSDT,-1,-0.014285714285714287
2026-09-25,2,2026-09-23,False,TUTUSDT,-1,-0.014285714285714287
2026-09-25,3,2026-09-24,False,AKEUSDT,1,0.014285714285714287
2026-09-25,3,2026-09-24,False,BTWUSDT,1,0.014285714285714287
2026-09-25,3,2026-09-24,False,ENAUSDT,1,0.014285714285714287
2026-09-25,3,2026-09-24,False,SUIUSDT,1,0.014285714285714287
2026-09-25,3,2026-09-24,False,ZECUSDT,1,0.014285714285714287
2026-09-25,3,2026-09-24,False,ACEUSDT,-1,-0.014285714285714287
2026-09-25,3,2026-09-24,False,CYSUSDT,-1,-0.014285714285714287
2026-09-25,3,2026-09-24,False,PUMPUSDT,-1,-0.014285714285714287
2026-09-25,3,2026-09-24,False,TRUMPUSDT,-1,-0.014285714285714287
2026-09-25,3,2026-09-24,False,TUTUSDT,-1,-0.014285714285714287
2026-09-25,4,2026-09-25,True,AKEUSDT,1,0.014285714285714287
2026-09-25,4,2026-09-25,True,BTWUSDT,1,0.014285714285714287
2026-09-25,4,2026-09-25,True,ENAUSDT,1,0.014285714285714287
2026-09-25,4,2026-09-25,True,SUIUSDT,1,0.014285714285714287
2026-09-25,4,2026-09-25,True,ZECUSDT,1,0.014285714285714287
2026-09-25,4,2026-09-25,True,ACEUSDT,-1,-0.014285714285714287
2026-09-25,4,2026-09-25,True,CYSUSDT,-1,-0.014285714285714287
2026-09-25,4,2026-09-25,True,PUMPUSDT,-1,-0.014285714285714287
2026-09-25,4,2026-09-25,True,TRUMPUSDT,-1,-0.014285714285714287
2026-09-25,4,2026-09-25,True,TUTUSDT,-1,-0.014285714285714287
2026-09-25,5,2026-09-19,False,AKEUSDT,1,0.014285714285714287
2026-09-25,5,2026-09-19,False,BTWUSDT,1,0.014285714285714287
2026-09-25,5,2026-09-19,False,ENAUSDT,1,0.014285714285714287
2026-09-25,5,2026-09-19,False,SOLUSDT,1,0.014285714285714287
2026-09-25,5,2026-09-19,False,ZECUSDT,1,0.014285714285714287
2026-09-25,5,2026-09-19,False,ACEUSDT,-1,-0.014285714285714287
2026-09-25,5,2026-09-19,False,CYSUSDT,-1,-0.014285714285714287
2026-09-25,5,2026-09-19,False,PUMPUSDT,-1,-0.014285714285714287
2026-09-25,5,2026-09-19,False,TRUMPUSDT,-1,-0.014285714285714287
2026-09-25,5,2026-09-19,False,TUTUSDT,-1,-0.014285714285714287
2026-09-25,6,2026-09-20,False,AKEUSDT,1,0.014285714285714287
2026-09-25,6,2026-09-20,False,BTWUSDT,1,0.014285714285714287
2026-09-25,6,2026-09-20,False,ENAUSDT,1,0.014285714285714287
2026-09-25,6,2026-09-20,False,SOLUSDT,1,0.014285714285714287
2026-09-25,6,2026-09-20,False,ZECUSDT,1,0.014285714285714287
2026-09-25,6,2026-09-20,False,ACEUSDT,-1,-0.014285714285714287
2026-09-25,6,2026-09-20,False,CYSUSDT,-1,-0.014285714285714287
2026-09-25,6,2026-09-20,False,PUMPUSDT,-1,-0.014285714285714287
2026-09-25,6,2026-09-20,False,TRUMPUSDT,-1,-0.014285714285714287
2026-09-25,6,2026-09-20,False,TUTUSDT,-1,-0.014285714285714287
